met_labels
L_472_LysoPC.14.0.
L_239_LysoPE.18.2.
L_548_LysoPE.18.0.
L_311_LysoPC.16.1.
L_15_LysoPC.16.0.
L_488_LysoPC.18.4e.
L_622_LysoPE.20.3.
L_617_LysoPE.20.1.
L_256_Cer.d18.1.17.0.
L_1604_LysoPC.18.3.
L_47_LysoPC.18.2.
L_1049_Cer.d18.1.16.0.
L_48_LysoPC.18.1.
L_46_LysoPC.18.0.
L_461_LysoPC.20.5.
L_109_LysoPC.20.4.
L_248_LysoPC.20.3.
L_299_LysoPC.22.6.
L_621_LysoPC.22.5.
L_105_Cer.d18.1.22.6.
L_1035_Cer.d18.1.20.0.
L_479_DG.33.5.
L_317_Cer.d18.1.22.6.
L_721_PE.32.3e.
L_866_PE.32.1.
L_734_PC.30.0e.
L_1320_DG.40.1.
L_352_PC.30.3.
L_348_PE.34.3e.
L_1192_PE.34.2e.
L_14_SM.d18.1.16.0.
L_662_PE.36.6e.
L_372_PE.34.2.
L_162_PE.34.0.
L_339_PE.36.4e.
L_292_PE.36.3e.
L_448_PE.36.2e.
L_44_SM.d18.1.18.0.
L_58_PC.32.1.
L_60_PC.32.0.
L_1995_TG.42.2.
L_1489_TG.42.1.
L_429_PE.36.4.
L_508_TG.42.0.
L_104_PC.34.2e.
L_3221_PC.34.2e.
L_140_PE.36.1.
L_499_PE.36.1.
L_90_PE.36.1.
L_4878_PE.36.1.
L_529_PE.38.7e.
L_330_PE.38.7e.
L_456_PE.36.0.
L_350_PE.36.0.
L_793_PE.38.6e.
L_541_PE.38.5e.
L_115_PE.38.5e.
L_915_PE.38.4e.
L_979_PE.38.4e.
L_1264_PC.34.3.
L_121_SM.d18.1.20.1.
L_1_PC.34.2.
L_51_SM.d18.1.20.0.
L_5_PC.34.1.
L_224_PE.38.6.
L_738_PE.40.6e.
L_845_TG.44.2.
L_3822_PE.38.5.
L_53_PE.38.5.
L_474_TG.44.1.
L_316_TG.44.1.
L_750_PC.36.4e.
L_210_PE.38.4.
L_35_PC.36.4e.
L_528_PE.40.4e.
L_284_TG.44.0.
L_181_PE.38.3.
L_175_PE.38.3.
L_465_PE.38.2.
L_209_PE.38.2.
L_135_SM.d18.1.21.0.
L_643_PE.40.8e.
L_398_PE.40.8e.
L_122_PE.38.1.
L_295_PE.40.7e.
L_385_PE.40.7e.
L_990_PC.36.6.
L_599_PE.40.6e.
L_30_PC.36.5.
L_300_PC.36.5.
L_657_TG.45.1.
L_663_TG.45.0.
L_865_TG.46.6.
L_45_SM.d18.1.22.1.
L_6_PC.36.2.
L_18_PC.36.1.
L_981_PC.36.0.
L_1158_TG.46.3.
L_837_TG.46.3.
L_522_PC.38.7e.
L_309_PE.40.6.
L_230_PE.40.6.
L_1006_TG.46.2.
L_213_TG.46.2.
L_43_PC.38.5e.
L_132_PC.38.5e.
L_400_TG.46.1.
L_112_TG.46.1.
L_1683_PE.40.4.
L_67_PE.40.4.
L_354_PE.40.4.
L_177_TG.46.0.
L_328_PE.40.3.
L_394_PE.40.3.
