M_6_2.4.Dihydroxybutanoic.acid.,M_27_2.Hydroxybutyric.acid,M_22_3.4.Dihydroxybutanoic.acid,M_25_3.Hydroxybutyric.acid,M_28_Alanine,M_30_Arachidonic.acid,M_8_Aspartic.acid,M_19_Cholesterol,M_9_Citric.acid,M_2_Glutamic.acid..3TMS,M_21_Glyceric.acid,M_10_Glycine,M_26_Isoleucine,M_23_Leucine,M_14_Linoleic.acid,M_4_Methionine,M_13_Oleic.acid,M_1_Ornithine,M_11_Palmitic.acid,M_3_Phenylalanine,M_12_Proline,M_24_Serine,M_17_Stearic.acid,M_5_Threonine,M_16_Tyrosine,M_20_Valine,M_212_11.Eicosenoic.acid,M_162_1H.Indole.3.acetic.acid,M_313_1.Monooleoylglycerol,M_54_1.Octadecanol,M_1030_2.3.Dihydroxybutanoic.acid,M_165_2.aminobutyric.acid,M_5856_2.Butenedioic.acid,M_127_2.Ethyl.3.hydroxypropionic.acid,M_210_2.Oxoisovaleric.acid,M_220_3.4.5.Trihydroxypentanoic.acid,M_63_4..1.1.3.3..tetramethylbutyl.phenol,M_96_4.Methyl.2.oxovaleric.acid,M_183_Acetic.acid,M_119_Alpha.ketoglutaric.acid,M_44_Aminomalonic.acid,M_99_Arabinitol,M_86_Arabinofuranose,M_946_Butane..1.2.3.trishydroxy,M_47_Creatinine,M_304_Decanoic.acid,M_51_D.Fructose,M_120_d.Galactose,M_1032_d.Galactose,M_177_d.Glucose,M_242_D.Xylopyranose,M_937_Erythritol,M_39_Erythronic.acid,M_81_Ethanolamine,M_88_Galactonic.acid,M_108_Glucopyranose,M_233_Glucopyranose,M_362_Glucopyranose,M_62_Glycerol,M_50_Glycerol.2.phosphate,M_958_Glycoside..?.methyl,M_46_Hexadecanoic.acid..2.3.dihydroxy,M_75_Hydrocinnamic.acid,M_31_Lactic.acid,M_76_Lauric.acid,M_230_L.Cysteine,M_159_Levoglucosan,M_211_Linolenic.acid,M_64_L.Proline..5.oxo,M_303_L.Proline..5.oxo,M_140_l.Threonine,M_208_L.Tryptophan,M_318_Malic.acid,M_274_monostearin,M_98_Myo.Inositol,M_116_Myristic.acid,M_83_Nonanoic.acid,M_265_Octanoic.acid,M_181_Palmitelaidic.acid,M_279_Pentitol..3.desoxy,M_234_Phenylalanine..dl,M_132_Phosphoric.acid.monomethyl.ester,M_103_Proline..4.hydroxy,M_200_Proline..4.hydroxy...trans.,M_191_Pyruvic.acid,M_65_Ribonic.acid,M_932_Ribonic.acid,M_123_Tryptophan,M_71_Tyrosine,M_1035_Urea,M_938_Xylitol,M_250_alpha.Hydroxyvaleric.acid,M_43_beta.D.Galactofuranose,M_298_beta.Hydroxyisovaleric.acid
3.635740943,166.5698089,3.380406465,284.4897835,336.9401729,35.64262651,6.836964688,1544.125178,43.18402833,88.01605766,12.61972794,149.3272945,95.6570354,264.7556606,226.2899565,43.64318745,448.8660516,128.0861979,395.8338289,68.53925782,443.1570109,349.560694,160.4979239,168.6254757,347.9956583,231.3899559,50.8,16.45,2.942797345,7.22,121.3,163.14,8.15,33.58,90.03,76.32,39.45,531.13,199.39,30.34,474.22,169.4,25.74,23.5,295.43,17.42,3955.92,18.51,64.5,87294.45,62.75,43.71,93.62,58.84,103.86,117.62,10949.0,5.74,3380.88,29.32,1.729268838,69.49,27.52,561.979186,53.85,0.246313293,43.48,201.44,2265.41,6.47,595.77,18.04,2.035082054,23.24,1435.97,464.22,56.79,74.13,69.23173545,2.7,20.15,244.84,103.08,2.457510606,555.69,22.48,17.23,151.42,338.19,50715.79,14.23,704.36,344.44,31.1
3.719002186,81.86005408,3.574682698,76.08380682,259.8271411,19.75255767,8.805409467,692.2832881,43.35058786,53.67912048,10.68403262,151.2099818,76.05905822,215.5472542,190.3899332,59.17387128,326.9095648,175.7855948,298.3260934,104.5059225,366.2873853,451.5875282,128.5070766,199.3675845,375.0722078,193.0345711,18.32,13.03,32.44,9.46,5.250412884,248.31,1.391202317,15.45,108.04,34.92,69.59,312.49,577.58,27.22,267.05,96.21,37.34,10.29,338.71,12.14,3642.22,66.56,33.13,112584.76,60.85,36.57,78.89,102.44,42.97,2542.46,3471.18,45.86,3005.05,18.93,28.55,28.76,16.1,501.1799971,52.09,3.58,5.3,40.75,2763.42,12.19,606.02,8.97,2.046049335,2.06623352,1313.54,304.0,193.1,98.67,800.43,2.65,32.26,152.02,22.51,2.256059949,314.25,25.37,7.25,132.83,351.5,35148.38,14.72,130.43,177.58,4.047744317
3.846669425,120.8593288,3.408160212,244.2993979,270.0714633,27.43374293,9.902329076,941.9388767,49.72842989,83.48615483,13.24191572,190.9861907,57.42166654,178.1606567,241.7677113,61.51509059,446.5695726,226.3754058,390.4105217,103.036907,244.7378326,360.7955086,159.0801184,270.6402507,489.4420222,163.2778489,75.65,16.51,13.18,8.94,4.896676098,199.08,1.634978866,13.67,93.89,38.24,70.91,325.08,132.84,30.23,494.14,150.27,40.88,2.791240893,474.24,11.64,3594.36,37.77,67.69,96551.8,67.45,25.52,92.35,81.49,97.72,3870.65,5225.57,28.75,2773.46,37.33,27.21,44.64,19.97,661.3022339,71.51,7.42,10.66,152.86,2429.83,17.33,836.55,23.13,6.99,14.78,1496.51,392.16,120.53,93.57,1001.0,2.49,17.98,200.69,53.27,24.81,355.19,31.5,0.143044153,113.21,333.01,28393.02,17.18,152.34,268.98,55.49
4.429498126,134.6147381,3.785611181,205.197662,295.6261458,18.60957628,8.154269972,660.6491659,51.45301503,90.01870353,17.74177887,146.3434128,54.63647684,162.6235674,239.9777021,55.66204231,591.3256348,162.3625729,430.7343447,93.12912404,280.4597701,383.258794,154.7962367,235.1634206,466.7218574,168.5189927,81.18,16.73,9.39,8.49,5.857244332,158.36,13.45,20.19,125.47,350.99,50.07,320.79,167.54,38.52,510.8,125.1,35.5,2.591103618,650.34,15.87,2814.68,39.77,36.57,125774.35,54.96,26.1,117.19,51.46,111.72,9116.24,9181.7,0.44014328,4908.07,34.29,22.15,36.16,20.31,543.3101679,88.68,6.67,5.51,325.57,2359.18,18.63,739.89,13.55,1.557576626,12.42,1673.27,656.16,127.3,91.7,1714.47,2.6,14.59,207.55,36.72,16.85,433.76,47.02,15.62,101.13,350.03,47786.92,14.62,94.14,604.2,58.66
3.241637726,76.3719788,2.342416302,350.0328996,276.0279867,21.17799997,10.5785124,4933.95405,64.55222812,45.91487615,13.22934627,265.9562186,42.32675154,129.4960738,215.3692369,65.83562317,544.272598,230.9758552,388.608819,121.1332405,176.5829931,581.7933834,137.3537141,208.1934184,462.6671818,133.1170864,61.83,9.73,2.445911976,9.73,28.34,108.1,13.84,19.69,97.09,33.42,91.98,313.75,148.79,43.2,949.83,94.46,8.87,3.300822527,646.06,50.86,1991.41,18.47,35.82,101940.62,13.01,20.95,85.83,57.46,56.25,8608.02,10645.46,0.821583158,9061.64,20.22,11.82,52.61,20.14,584.0280145,246.51,21.95,17.31,397.63,2276.49,0.396195958,415.89,17.74,2.609762585,35.31,1799.62,735.95,115.48,105.53,1552.59,1.539564594,12.7,256.85,28.51,6.37,614.76,29.12,0.728596014,82.78,249.73,45245.63,9.82,120.97,392.14,16.56
6.488826202,165.0264878,6.788566677,156.0675411,507.3147005,19.96276114,7.848735287,660.2560455,60.11411063,112.3990694,14.62455524,85.12055415,78.35633148,214.1038347,213.2345381,56.81478006,374.498368,142.6593322,421.2734554,93.38337672,381.8292365,342.2463285,149.0945496,218.9053056,490.2036536,203.4314981,20.24,22.2,6.67,8.18,95.39,178.06,5.7,36.91,138.0,6.79965409,163.69,537.75,201.85,35.18,253.55,185.76,31.92,62.0,574.77,3.045702901,5906.9,26.72,56.73,145138.43,1.843094413,7.897889442,123.45,72.75,137.24,5173.34,10756.93,2.43,5601.49,33.1,113.93,37.31,27.0,1268.917477,59.93,7.6,2.822091839,141.67,2460.12,11.36,656.69,6.11,413.36,14.11,1727.59,469.02,113.0,98.2,1096.35,4.78,19.34,281.77,47.25,34.29,844.53,69.3,21.06,117.2,471.39,42993.51,2.177661165,288.25,1016.07,3.101500383
3.347101968,94.584448,2.703215022,71.16567167,308.6691361,34.03544578,4.998747809,695.0920298,41.59477281,19.89872725,14.15320086,133.3244527,71.98292292,204.4014129,173.7616281,50.97513571,276.7103753,75.74599668,306.6690429,72.0261517,194.0415183,303.320963,128.9242161,161.4898142,177.0627518,202.4242424,30.44,16.99,3.694977407,8.72,4.9828209,114.9,4.67,15.8,70.97,32.38,36.51,340.15,15.16034219,21.82,416.06,110.51,12.11,3.124982236,471.87,12.56,4855.64,21.01,29.97,45768.5,1.025391978,98.4,95.98,65.67,80.12,5840.24,5837.96,1.18821946,3594.48,44.07,1.662020404,70.89,12.45,524.193003,76.14,1.9,8.84,201.97,2592.96,1.817562807,493.46,6.92,1.387221975,24.95,1456.75,364.45,29.09,41.44,620.63,2.15,19.47,462.39,43.04,27.57,198.86,33.24,18.34,104.45,416.65,30784.28,11.99,221.46,487.87,15.94
12.36151921,33.20381604,5.950403498,42.81595256,354.3008942,12.10421669,12.72727273,446.0657787,25.29622873,96.81127686,9.288823653,169.3796901,56.63388478,121.8317197,180.6387813,66.08136184,290.5270124,252.9187884,317.8146412,110.5474504,250.5515504,562.2101691,117.9004855,192.2263264,676.6009898,109.1478162,15.29,9.86,3.577083407,10.89,5.566564167,76.59,12.07,4.335945017,52.6,52.77,56.94,174.59,14.89136665,43.08,415.89,421.03,33.2,10.0,324.72,2.86092811,975.39,19.36,50.85,92177.6,55.49,22.9,86.71,50.43,240.86,4507.01,7473.53,0.919200795,2916.48,21.49,136.01,24.38,12.28,565.4090187,39.08,8.07,15.03,11.73544069,1970.24,19.1,474.09,22.08,1.780142637,1.618884265,1272.21,303.77,180.28,4.26935431,739.71,4.26,15.66,169.57,75.42,50.58,736.2,17.29,8.26,93.11,291.42,18630.63,1.953234981,74.5,141.21,3.192393969
6.705305434,104.7921399,3.43591396,116.7032485,262.8054028,19.73723033,12.29151014,1046.579594,35.89357887,46.40299256,11.31250513,183.5531282,68.52176565,220.6652944,198.757572,56.91307553,362.0860526,211.8073158,357.5820941,98.70250419,166.8490692,474.0888762,133.7916243,282.1076785,458.3659878,189.4152796,29.78,18.07,71.79,18.21,4.596512367,157.59,8.2,23.58,157.97,31.96,49.51,472.04,137.15,40.89,699.44,191.27,33.43,8.33,341.9,16.42,1822.99,17.11,71.61,66705.29,47.12,31.45,79.9,82.47,85.97,12633.02,10613.98,109.73,4305.6,15.0,89.43,56.19,25.07,664.0959237,36.24,2.19,10.5,202.64,2724.57,8.42,588.14,15.08,1.734827903,18.49,1655.8,360.27,27.45,58.29,1266.04,3.17,22.57,176.21,28.18,1.792505044,396.31,28.47,17.41,128.35,390.25,32642.75,18.56,149.28,263.34,52.57
5.667315272,141.338751,5.284313554,150.1119868,420.8927302,20.29120407,10.87903832,1715.299797,68.01874836,97.30395511,14.52399964,144.718263,122.8227999,306.8740312,196.9556771,56.52882961,431.7498485,118.1891784,355.6347993,96.13979862,459.4400533,315.9133441,152.8909874,230.294381,293.4083927,241.1950491,47.64,19.9,24.96,14.24,41.63,160.65,7.42,38.84,104.6,85.94,44.6,476.9,150.84,48.14,433.86,15.01,17.98,20.51,484.16,14.53,5111.75,30.17,64.81,65127.03,0.674653012,36.01,158.76,63.48,834.12,7099.89,6585.96,1.474402112,3756.59,25.19,86.56,56.23,31.32,892.8823123,98.81,0.648735632,63.89,196.61,2446.86,1.332363977,539.25,22.82,2.081683057,22.28,1921.22,429.02,223.88,4.917766919,69.45983607,4.89,3.492235669,318.15,94.32,66.3,623.64,53.41,14.62,204.86,415.67,43522.95,170.02,294.05,1329.3,29.26
