,nobs,BMI_z0,BMI_Lw,M_6_2.4.Dihydroxybutanoic.acid.,M_27_2.Hydroxybutyric.acid,M_22_3.4.Dihydroxybutanoic.acid,M_25_3.Hydroxybutyric.acid,M_28_Alanine,M_30_Arachidonic.acid,M_8_Aspartic.acid,M_19_Cholesterol,M_9_Citric.acid,M_2_Glutamic.acid..3TMS,M_21_Glyceric.acid,M_10_Glycine,M_26_Isoleucine,M_23_Leucine,M_14_Linoleic.acid,M_4_Methionine,M_13_Oleic.acid,M_1_Ornithine,M_11_Palmitic.acid,M_3_Phenylalanine,M_12_Proline,M_24_Serine,M_17_Stearic.acid,M_5_Threonine,M_16_Tyrosine,M_20_Valine,M_212_11.Eicosenoic.acid,M_162_1H.Indole.3.acetic.acid,M_313_1.Monooleoylglycerol,M_54_1.Octadecanol,M_1030_2.3.Dihydroxybutanoic.acid,M_165_2.aminobutyric.acid,M_5856_2.Butenedioic.acid,M_127_2.Ethyl.3.hydroxypropionic.acid,M_210_2.Oxoisovaleric.acid,M_220_3.4.5.Trihydroxypentanoic.acid,M_63_4..1.1.3.3..tetramethylbutyl.phenol,M_96_4.Methyl.2.oxovaleric.acid,M_183_Acetic.acid,M_119_Alpha.ketoglutaric.acid,M_44_Aminomalonic.acid,M_99_Arabinitol,M_86_Arabinofuranose,M_946_Butane..1.2.3.trishydroxy,M_47_Creatinine,M_304_Decanoic.acid,M_51_D.Fructose,M_120_d.Galactose,M_1032_d.Galactose,M_177_d.Glucose,M_242_D.Xylopyranose,M_937_Erythritol,M_39_Erythronic.acid,M_81_Ethanolamine,M_88_Galactonic.acid,M_108_Glucopyranose,M_233_Glucopyranose,M_362_Glucopyranose,M_62_Glycerol,M_50_Glycerol.2.phosphate,M_958_Glycoside..?.methyl,M_46_Hexadecanoic.acid..2.3.dihydroxy,M_75_Hydrocinnamic.acid,M_31_Lactic.acid,M_76_Lauric.acid,M_230_L.Cysteine,M_159_Levoglucosan,M_211_Linolenic.acid,M_64_L.Proline..5.oxo,M_303_L.Proline..5.oxo,M_140_l.Threonine,M_208_L.Tryptophan,M_318_Malic.acid,M_274_monostearin,M_98_Myo.Inositol,M_116_Myristic.acid,M_83_Nonanoic.acid,M_265_Octanoic.acid,M_181_Palmitelaidic.acid,M_279_Pentitol..3.desoxy,M_234_Phenylalanine..dl,M_132_Phosphoric.acid.monomethyl.ester,M_103_Proline..4.hydroxy,M_200_Proline..4.hydroxy...trans.,M_191_Pyruvic.acid,M_65_Ribonic.acid,M_932_Ribonic.acid,M_123_Tryptophan,M_71_Tyrosine,M_1035_Urea,M_938_Xylitol,M_250_alpha.Hydroxyvaleric.acid,M_43_beta.D.Galactofuranose,M_298_beta.Hydroxyisovaleric.acid
0,99,18.1,8,0.055356630570324854,0.07076311609275265,0.08558359417459582,-0.02352360999166806,0.16990377108692573,0.007168896757550849,0.026026172695219146,0.0783371971138445,0.04160990175580892,0.10367140434151456,-0.02676834960367549,0.08622731352326188,0.13819441788308406,0.138917726361506,0.023474387139448716,0.02542456655025513,0.06499992705525975,0.0527843771246775,0.07479394832502632,0.004994617520790855,0.07517689764192736,0.00856193537795688,0.07885070167983602,0.059759034660475996,0.007220072444217539,0.12513008983739582,0.023975110194369827,-0.01158977521862866,-0.00972270607374641,0.08309165481478362,-0.03140151623352655,0.005928455898161662,-0.01785759735487958,0.06015329087001551,0.052574610997298245,-0.12539288891068917,0.008975311383979091,0.08380828641914069,-0.021321937195616383,0.02974954933508423,0.01243690567932397,0.061918219113641544,0.056380497261242495,0.09817397188876228,-0.008684172362760222,-0.0002630856306775793,0.0522262266170216,0.030168474818194888,-0.04955569843748315,0.03538205081697128,-0.03744247398804813,-0.06187361444844236,0.10705686107207196,0.03344703968013796,0.036396522823420416,-0.128847662555102,-0.11718675412639912,0.031381798612665546,0.11914854963084931,0.04260578734750379,0.04670880554995212,0.0672753270500861,-0.025444329864047738,0.14194744995733166,0.009376043149321799,0.01876590341198893,0.030313659608562183,0.04510924754728311,0.01996355970920053,0.050106252957237404,0.054280750977990413,0.005684899654477001,0.11740136342556906,0.1071855865256594,0.06538537669729379,0.04979023075553314,0.05811451355189709,-0.0502425803133727,0.03505050150236363,0.052795376636404684,0.031668628478225234,-0.02088742453646964,0.043688920649160176,-0.006351911992885581,0.09232274412105468,0.09884287290816329,0.06815063950345765,0.05055830944232937,0.009944565214616521,0.07770115712280415,0.01676852620107687,0.030240694035991653,-0.046735336976654954,0.04906364106144513
1,96,19.1,8,0.05372793332430764,0.06730268251285826,0.0839156098994506,-0.031315385731929934,0.17693152206391316,0.007807848433381018,0.04109474323077776,0.09591472418026793,0.03961431012474726,0.11343297042985631,-0.028183669894694258,0.07671535851429208,0.15578883771626634,0.14033093866369914,4.439697650539948e-05,0.04409125752815603,0.04676495296525733,0.059982870383941816,0.054900029757574735,0.01887729478044349,0.07284873162453236,0.028827993433175284,0.06084538391507997,0.07880525667203445,0.021403514927597622,0.12716904606183477,0.015402163696889584,-0.011947122847337337,-0.006476945012511143,0.07766632779125951,-0.027385879858524337,-0.0016362133528304706,-0.021357545720999176,0.06386259248334024,0.0484289258891453,-0.14778059079077877,0.0010786298217207585,0.07968103226562859,-0.01620152600110012,0.03314558353892057,0.029389219949027025,0.05949102906999128,0.051513537534247825,0.10677160816166242,-0.010924955083867274,0.00176675465348336,0.04412620038358957,0.017567511818154566,-0.048770888756840644,0.02797872935968919,-0.04094608036010037,-0.061177373070464586,0.10943985141543439,0.022790103738782208,0.03351214504464594,-0.13008893015657108,-0.1140976937042396,0.03388179732896787,0.1167179055369519,0.03885297595145727,0.04996237741622547,0.07533765683100216,-0.024224820613078176,0.14261942396024735,0.00040440131824220904,0.021276450125547918,0.048352241509710236,0.03643517554145079,0.005765755996460772,0.04864966069364917,0.04954277016858174,0.019069670275401115,0.12609559632338557,0.1155761958607899,0.06195620875136526,0.03759821238456339,0.05516728697518736,-0.0626084368148754,0.028367477207035918,0.054204345289920394,0.018220505904746102,-0.018736072504429484,0.04386640550730381,-0.0047810402987832415,0.09612148960638912,0.09137312531441377,0.07032415376529241,0.043089644809352075,0.002343102867974539,0.08856259139809859,0.018151577162248578,0.033943506095507836,-0.0473943046329073,0.04238021075699285
2,93,20.1,8,0.05747729368960848,0.08176071524678996,0.09878527600961808,-0.018371960279053884,0.20527231553328917,0.003265131753079388,0.048591924270046744,0.09124552976744013,0.05938237873369953,0.12290436154542915,-0.003662706453918245,0.12932941703819506,0.13282212756139927,0.13618651512100025,0.013613221428651876,-0.004616593611422186,0.06658354297442347,0.044422981436349374,0.07942712499791944,0.0008805137476735943,0.08160395980419284,0.05712791513565595,0.08022433276921068,0.053685378874688466,-0.006706117170439188,0.10603123063463442,0.02335810886514776,-0.02985826670026631,0.01949406145792864,0.10835945815211198,-0.03339949836061889,0.022171416243209896,-0.012291750644637986,0.06894588339254133,0.05461234094418168,-0.15335336095182173,0.006684848870343282,0.0854238065807035,-0.01231625310060308,0.06171649580580167,0.07116364109989197,0.04919868967285051,0.06028764650966267,0.10835324414937642,0.011318118232260657,0.009153028751389382,0.045931765826310395,0.024146622727421043,-0.06715969365155426,0.030726368095862704,-0.04690192626571036,-0.051893700513106024,0.1301398414821736,0.0350318966726081,-0.004424129508579587,-0.1229859285285433,-0.09820530939494286,0.07487866522062073,0.128063152158214,0.04017429076148637,0.01937717772478248,0.07834125603372512,-0.057569348228658786,0.16735137376763892,0.007661195191178888,0.038216990571046425,0.02218651979916715,0.035394317214778495,0.020866048833111862,0.034830777919411304,0.036611324996068756,0.025319162090872066,0.12156282096109644,0.12493548706388555,0.08075326515506062,0.054575812112219166,0.06545690516842088,-0.052606479265360113,0.032515929793593856,0.0621981633400524,0.01578448333107819,-0.022054323948338117,0.042833848616774334,0.009235127079780636,0.10639109989110467,0.08568150402756508,0.056202748558772865,0.03043719697740017,-0.02311168675995575,0.09075693521651926,0.010170336994007628,0.011064379958692222,-0.036828729918936993,0.03246834084574332
3,92,21.1,8,0.05482014340044182,0.09733812186821751,0.14968692055223376,-0.0007125539557892493,0.23900103722398808,0.03946850759825434,0.1459382276998874,0.06470929703589721,0.09938799512578456,0.2507453093684309,-0.045376936868406326,0.13111981887889648,0.21974456170586135,0.19872281237822625,0.06661695980371658,0.11664926601507639,0.11323169989009979,0.1741190493361123,0.12894503615134453,0.15311833741328165,0.14166636778948963,0.04700841535933861,0.11106368321547339,0.10440431080864616,0.14125801762574788,0.16644961383243878,0.04095633020650104,0.010097057084092712,0.051523865082188536,0.16074768500148018,-0.033944450014144166,-0.01866378995934423,0.07933181558888094,0.09637716232885893,0.08665751059053044,-0.14072731262133217,-0.1107027828144948,0.14348933507696823,-0.12859467392349455,0.12551653423662112,0.0753832132749138,0.09242758764279815,0.02461792480004634,0.1265576879589828,0.06253005546050777,-0.019504496827166068,0.06388614148915653,0.09378382685272835,-0.07137731445836157,0.06581829258751715,-0.053862753785916824,-0.059747659629246455,0.15322797066207006,-0.016443751286246977,0.051880932270047635,-0.05168887223096737,-0.08353842838085773,0.038774857853041675,0.13371167841866743,0.004748608980474193,0.07879803252184629,0.09411530516464334,-0.011448577541834738,0.2107375991654884,0.029624213598933004,0.06322907303249367,0.015828254699027385,0.0553153148148378,0.08443036982431401,0.08671948369022928,0.12666702626725768,0.0657958305103174,0.06714591480229713,0.12001565053884097,0.0705632646180455,0.06964414113984324,0.08877549502842762,-0.03263615745616984,-0.10240540951975288,0.11256810432646036,0.03298227047428148,0.04998411601667267,0.031128609702684287,0.06348349857108462,0.14025492410576923,0.08529940864696071,0.09312019274314674,0.12637268658129747,0.050986789273395235,0.11308767421326069,0.044438352306087135,0.049605838790447235,-0.005579609955983167,0.07113563692930744
4,87,22.1,8,0.03899886250599091,0.0902335605169898,0.12180727686759303,-0.04913309154926129,0.2720216939652135,0.028321992840345422,0.15533415863889768,0.032498622779766506,0.07815986542506785,0.2772822609022568,-0.0380701457566969,0.08829395859877114,0.23297334053653282,0.19297396932015198,0.02525549632868747,0.11890915019867748,0.07023825351300345,0.16901814287356992,0.07169343406320976,0.17935570884013077,0.1777983871471501,0.03354255497419992,0.06895952303746103,0.1354907786061793,0.15174582821392277,0.1621643097687793,0.006306003845917174,0.001035471307882188,0.054786464613093826,0.11053645218460309,-0.06657319033737574,-0.048359171769831365,0.04244809715365645,0.020703867890756428,0.09992456506487452,-0.15453952543333477,-0.1277720185737216,0.03862062725517312,-0.16480114380301575,0.06264688061969524,0.026491648037669846,0.08555244699932335,0.014922297617879714,0.12557516532375573,0.07881085243818114,-0.04741740048018509,0.09316067886464548,0.10911932106256116,-0.03694397296743006,-0.03564483309650743,0.0033787664971634754,-0.04856369562454495,0.1480925040350707,-0.08986727319270656,0.016153797358271396,-0.08268030958676484,-0.10866244553702276,0.0006207712801440946,0.061881432407294615,-0.04776802281789149,0.031504816626447885,0.06271501114668693,0.010744448275835601,0.22193845617669528,0.02919812758944563,0.06364071658174736,0.0056331849676849455,0.060135569807567436,0.06676268890955883,0.06994968369979777,0.13343663227932473,0.07350997364721064,0.065646114150226,0.07094251547059896,0.03721251579764094,0.023195166915739696,0.08984074009105243,-0.0281684996168437,-0.13456936291046254,0.03999527226605445,0.051542109568035864,0.060217896315135355,-0.005851322899577627,0.04226850297670415,0.10217280131042672,0.1001578865015032,0.10014168053716062,0.16945069134662055,0.036789907223110534,0.109646067175609,0.03805368705309542,0.03639633023470287,-0.03509090475482418,0.10194501578393426
5,93,23.1,8,0.04617293070670294,0.14647483201434183,0.1362291678971164,-0.05250068886766408,0.28546002016925864,0.08291746000045401,0.19942269044853259,0.05379821454254284,0.08611490125369257,0.3533752433985661,-0.023935729755221673,0.012627785784280005,0.2910020337891435,0.25674504117694075,0.05064968172863829,0.1801359924643511,0.14555881814211913,0.22227460968599605,0.1359716410762076,0.2562083172953027,0.2132449226823916,-0.02057182178653892,0.09900469492154254,0.1914060887681831,0.21440875850194013,0.2002428831630285,0.07111188005318922,0.05039111049516122,0.029664286727254907,0.08222487249444928,-0.006517029666333593,-0.05915881777554561,-0.0038997486241443766,0.12766735754095793,0.08022847296252279,-0.19934543617471992,-0.14194755034966763,-0.026728491746982525,-0.10510809414429625,0.04889673473382086,-0.039131762808239795,0.09675704766646978,0.0026756199979470346,0.08472405588299332,0.05131920707713314,-0.045364326394972496,0.07040654715208418,0.17213859962786693,-0.04409825354438002,-0.06432585347885184,-0.005623303711848354,-0.025404820492509056,0.19878055249793566,-0.06348770744790026,-0.01997664325901566,-0.13036676149719334,-0.15901722544804225,0.10690469018213396,0.15000093236850526,-0.00464014110755423,0.032990319571853756,0.10846462731781822,0.07261426544206183,0.2202440394013972,0.0054936099482933015,0.07370011046374512,-0.04516044009731866,0.011175906211241607,0.07434123074155549,0.1275705799998424,0.1614025630472328,0.06388349553401762,0.01655426874383774,0.12651817831688994,0.054084964875666525,0.08136973070895148,0.11566167429723612,-0.03892975171673811,-0.22006883541348843,0.08723385028749933,0.039782521691593076,0.11927305992404177,-0.03625916322175421,0.09860025792988486,0.07621100959561719,0.0861734786037506,0.04997937845520602,0.14547789283061868,0.11101813461739996,0.14247971633086545,0.07985011421206356,0.09882748312337641,-0.04390712440798722,0.08391059305491087
6,97,24.1,8,0.08960168401099178,0.2507718453773346,0.2691561415024376,-0.020014614177140566,0.3964016237074587,0.22544885628004735,0.2110981111160479,0.02408974309763784,0.04869090808933699,0.5005737210381971,0.1059007005019752,-0.10525909591020563,0.4287408494556316,0.4003881990514986,0.13469830348669484,0.12244323992894023,0.19709069492257658,0.1516799904631133,0.22507055485926802,0.2338300221019115,0.2753144569952375,-0.0690796155576816,0.21434173855389002,0.10414984798787139,0.20896128391278324,0.3414414019879706,0.19761420595832016,0.15961240385467834,0.03352004247735321,0.03615705714648222,0.15699752986729673,0.014713753434369863,0.09994535677780171,0.21262999402244193,0.0833112783513146,-0.11877455625889147,-0.08141655230550326,-0.010593240341230374,-0.056815079372779256,0.06945977160171034,-0.09449162986663058,0.1029875493036988,0.03223191477585248,0.1366605715638803,0.09247634832578026,-0.17959660456686438,0.09811199076321682,0.18593149927045183,0.009116044945538582,-0.08317115685173557,0.05725204860114849,-0.0517707571293787,0.25811214770156043,-0.16708484861524953,0.04411625972480143,-0.0386175515451366,-0.06273321085906214,0.10429538587899664,0.08873272822545976,0.08772050855128818,-0.013411649499819822,0.1878193376335396,0.04060254365416133,0.32387791263389565,-0.008145804217581015,0.12356568698292697,-0.030858288731375583,0.00825092129046897,0.018289899858990696,0.09134351985211782,0.057868517477847964,0.16714032050655814,-0.005743959954770547,0.1538134257479476,0.0896757874490967,0.12346713426089902,0.019882779501805198,-0.05369312313824498,-0.1225394377916807,0.09864402211918613,0.06113629122385364,0.12895587490642713,-0.011196122926608251,0.09605212674982593,0.10898950864245247,0.07926195576576689,0.033715033637074704,0.08658189389648867,0.14139142674715438,0.20851976551529747,-0.02974891935818419,0.059140898823092,0.1273986573243423,-0.041747254062437594
7,105,25.1,8,0.055384439164568006,0.24063806257254222,0.20555826339915848,0.0027116836356117884,0.3645789444030627,0.2689865307547399,0.2794371047861016,0.10154495308426992,0.049659639773040845,0.5225231817405861,0.15545605545971874,-0.1394593078749639,0.3426730558363942,0.35357395215431237,0.19401953575595407,0.12796844505204868,0.2497458593653332,0.14943073850205807,0.29268912730711877,0.2575898991069545,0.27056437785341686,-0.10088462983488272,0.2572423800310202,0.04587086965213889,0.1849889963301816,0.2938643835815745,0.2258152678294459,0.1634621749192683,0.1132355580011193,0.04804630392078703,0.09049327298369544,-0.0047214274868237205,0.051777829511192114,0.1593109391799695,0.07817777810953253,-0.08163210177736563,-0.07185515326895747,-0.007854469871938163,-0.05103982917086369,0.08598066182159136,-0.10079109442036488,0.06823667209000121,-0.0014901098668698154,0.17179581595715795,0.04716293836033978,-0.16154010043467448,0.0930008938925433,0.19223735855754548,0.068604677061461,-0.0762051672406415,0.06856046868221755,0.005173929431284308,0.2522072503826602,-0.1510832816360689,0.059153226645603005,0.010575414898280858,-0.018959017231758697,0.12014495083757687,0.1938927748534954,0.1019440645995619,0.019824592511383576,0.26865351894342027,0.030897424537350976,0.33826547633308657,0.08473505449616137,0.11753275443724681,0.08889898077274166,-0.012284976723786853,0.06062065377958746,0.06418539248034705,0.049363403496829036,0.175711346412141,-0.07088152662451375,0.16025793358818838,0.09778573605890031,0.22479333289381334,-0.005600068769065228,-0.09391541834674826,-0.17669001698109235,0.10699638926175886,0.08743274363407527,0.14031562418546298,0.015521257241727662,0.06605204889785225,0.11157088333659058,0.04089937196580115,-0.015272813026564254,0.09064973054034621,0.14162488607968554,0.18773856436888806,0.05637495909099076,0.10919776403475584,0.12517745172697606,-0.00855016802114325
8,113,26.1,8,0.05813969903982237,0.20833070548109756,0.18666212022611214,-0.0036579604253554887,0.3676041240894561,0.22319238851048184,0.3392971216698766,0.16552219831338652,-0.0006079966810605963,0.6574954230759353,0.15506132588594845,-0.2879138159921826,0.3009604828461847,0.3033303717023107,0.12888230220665048,0.1907497820777064,0.2065967502886661,0.13395367708812722,0.25942001422756017,0.2913582229581243,0.24386605123128013,-0.1420164673182508,0.2205359401587316,0.08222834133481235,0.23558449682704202,0.2744809710025463,0.17861218780287813,0.011863568192291674,0.1852141609665382,0.11243730309794683,0.07934817595465705,-0.04720735890236066,0.07379248049507056,0.12979277095974284,0.16544861868712174,0.04337358622319079,-0.01900537600003807,0.053067216966047506,-0.11456084876563712,0.16273103182126053,-0.1847430198543448,0.06707868112099843,-0.027251271508080627,0.1999301380128001,-0.005608011340439326,-0.19283077806856852,0.027327976163040113,0.16528796608811933,0.07245093254770256,0.0029311395475716123,-0.0298832497308369,-0.17967900748273957,0.19908349938727293,-0.1273934196569686,0.04696587428031515,0.07850325674036854,0.062263778701110925,0.14945502331894872,0.09266411636356073,0.12454306116562401,0.053896613965663566,0.3491433344970701,0.11649751255570445,0.3975908132329279,-0.026596246767394333,0.15000336480422977,0.11775827126929728,0.008336958196561606,-0.011560084362595285,0.08335693175319923,0.03575757984679363,0.20553404296987576,-0.1498003021802019,0.18928278528423395,0.08479100745000825,0.1563828748845992,-0.00017632848919046928,-0.049721136689929626,-0.17556248073079334,0.16745260192904618,-0.10310518634541035,0.18851365270212714,0.039097710376629874,0.04934371161949799,0.20277421866429224,-0.036857162846666736,0.043365890903167836,0.09012916295737447,0.16786662203984112,0.1049398388894576,0.04472313734397315,0.20466112162914105,0.07296872856721587,-0.016951408860847172
9,126,27.1,8,0.10827114665886543,0.3052667840835251,0.2625298117014722,0.08198282031789347,0.4159558193206606,0.2027469209481492,0.3120822470164354,0.13102637491470726,0.06373849026843242,0.6811081415565182,0.1256616987812581,-0.30123911994510605,0.3947395897022318,0.3392570287425609,0.12693668727847418,0.19887921861628516,0.2391767405969116,0.07106762510816297,0.3025978475836869,0.2867482653523656,0.286551431284022,-0.15167624105723543,0.2346416348573762,-0.08634236452185551,0.2594268182632056,0.3792558885032954,0.21788624727421807,0.02798962489727025,0.2686696250724884,0.006995853217807463,0.17685378267633592,0.028025588644040922,0.11869506679190994,0.21210810317511639,0.2451359480691989,0.05906526916666614,0.03656147259367215,0.14476018594376577,-0.10467413568012912,0.22726415528951383,-0.22273066858669177,0.17683031872734362,0.04307674637190063,0.3277881326538646,-0.062221257981896774,-0.18999838959926305,0.04153870979918545,0.2602262486597689,0.08092004134930254,-0.08429010053197034,-0.15669622629831856,-0.11345011544779893,0.24424161917762593,-0.014798681922264948,0.08023683843292881,0.03954391442490476,0.0457356606136298,0.17213921627333817,0.14982758609591426,0.11091891400945471,0.15206569235689468,0.3163143665827811,0.22332229663946737,0.4531113724902621,-0.02999463766809586,0.10834488683251534,0.12744441141720964,0.02085764545149566,-0.01273037839586788,0.04296439325401939,-0.025848742070253547,0.22453727929019232,-0.2074290013188082,0.19634847947204193,0.1250710297429719,0.22337647411327324,0.12164751457700818,-0.16193105780638925,-0.05807791927768001,0.23977995475132152,-0.012022619901131362,0.12617777560631185,0.0016173223878398896,0.006760132435269767,0.25248252476710575,0.020901671010384815,0.07574445329222408,0.1157734891289528,0.2559765279219116,0.04151223425873922,0.07666219212091466,0.20835364661685876,0.08605878683074583,0.09543230469858302
